机审一级标签,策略ID,策略名称,送审原因,POC,日均进审量,日均完审量,日均打标量,打标率,命中原因
国家安全,10034206201,【人审-藏语队列】达赖生日扩召回策略_疑似涉藏分裂分子,national_security_tibetan_risk_user_list_for_dailai_birthday_temp_manual,杜衡,3864.0,3863.3333333333335,158.33333333333334,0.040983606557377046,近7天打标率<10%且进审量>100，纳入观察
国家安全,10012811200,【人审】国家安全-常规词表-标题,national_security_regular_title_words_review,杜衡,3374.8571428571427,3340.0,299.0,0.08952095808383234,近7天打标率<10%且进审量>100，纳入观察
国家安全,10032388172,【人审-藏语队列】藏语风险用户全量进审,national_security_tibetan_risk_user_list_manual,杜衡,3201.4285714285716,3187.4285714285716,207.14285714285714,0.06498745069917533,近7天打标率<10%且进审量>100，纳入观察
领导人,10012314255,【送审】领导人OCR敏感词-nlp,leader_nlp_ocr_antidirt,宋诗慧,3188.714285714286,3157.5714285714284,250.28571428571428,0.07926525810975886,近7天打标率<10%且进审量>100，纳入观察
领导人,10011265292,【送审】19N2粉丝账号,pentax_fans_19_n2,宋诗慧,2976.714285714286,2974.1428571428573,183.42857142857142,0.061674432009222346,近7天打标率<10%且进审量>100，纳入观察
领导人,15801160,【送审】敏感人物旧模型-XP召回,leader_recall_xi,宋诗慧,2761.8571428571427,2796.5714285714284,177.0,0.06329178586023702,近7天打标率<10%且进审量>100，纳入观察
领导人,10006132401,gov进审-召回,is_govB_media,宋诗慧,2603.285714285714,2604.8571428571427,4.571428571428571,0.0017549632554568389,近7天打标率<10%且进审量>100，纳入观察
领导人,10004770670,【送审】19-N2隐晦悼念,lkq_eva_daonian,宋诗慧,2595.75,2546.75,50.5,0.019829194070874644,近7天打标率<10%且进审量>100，纳入观察
领导人,10010019712,【送审】ocr领导人词表召回,ocr_leader_table_500recall,宋诗慧,2522.4285714285716,2544.714285714286,98.28571428571429,0.03862347723572672,近7天打标率<10%且进审量>100，纳入观察
国家安全,10001819210,【国家安全】雪山狮子旗eva-进审藏语,xueshanshizi_eva_33346_v6_2_jinshen,杜衡,2496.4285714285716,2466.285714285714,149.57142857142858,0.06064643188137164,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10022271678,【ZL送人审】指令准入_ocr词表_AIGC,ZL_antidirt_10518_aigc_ocr_aigc_review,张发奇,2352.5714285714284,2292.0,212.14285714285714,0.09255796559461481,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10019351880,ZL送人审_领导人_标准外_N1与历任_不规范_单字书法VLM&PE,model_llm_safe_mind_leader_beyond_rule_leader_name_chinese_charactor_zl_friend_see_review,张发奇,2345.0,2279.3333333333335,100.0,0.04387247733255338,近7天打标率<10%且进审量>100，纳入观察
国家安全,10012388677,【人审】LS词表_Recall95_LLM,LS_keywords_LLM,杜衡,2242.0,2220.285714285714,106.85714285714286,0.048127654098571615,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10024100858,图文_友见_执法负面_ocr&title_自动处置,tuwen_eva_120363_parodyingmartyrs_homogenization_ocr_title_review,李中涛,2203.1428571428573,2215.4285714285716,190.42857142857142,0.08595563580087696,近7天打标率<10%且进审量>100，纳入观察
国家安全,10030827217,【人审】LSduty哥router+专家特征,LS_duty_boy_26_review,杜衡,2142.4285714285716,2164.0,138.71428571428572,0.0641008714021653,近7天打标率<10%且进审量>100，纳入观察
国家安全,10015622164,【人审】国家安全召回词表,national_security_recall_rewords_review,杜衡,2033.4285714285713,2039.2857142857142,43.142857142857146,0.02115586690017513,近7天打标率<10%且进审量>100，纳入观察
国家安全,10031846913,【人审-LS风险】封面OCR_LS常规词表_12515,LS_regular_COVER_OCR_words_review,杜衡,2018.857142857143,1990.4285714285713,31.0,0.015574535275963539,近7天打标率<10%且进审量>100，纳入观察
国家安全,10010298673,【送审】国家安全高危消重,high_risk_dedup_national_security_to_review,杜衡,1985.2857142857142,1956.0,100.42857142857143,0.05134385042360502,近7天打标率<10%且进审量>100，纳入观察
国家安全,10034071913,识别_宣扬分裂主义敏感人物人脸通用PE,model_llm_national_security_fenlie_sensitive_person_face_manual,杜衡,1970.4285714285713,1953.5714285714287,79.57142857142857,0.04073126142595978,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10008386569,【送审】监管要求-省部级监管特殊收严,eva_0845_govhr_review,李中涛,1872.5714285714287,1862.0,43.42857142857143,0.023323615160349854,近7天打标率<10%且进审量>100，纳入观察
国家安全,10032775232,【人审-藏语队列】维语风险用户全量进审,national_security_uyghur_risk_user_list_manual,杜衡,1792.0,1796.0,103.0,0.05734966592427617,近7天打标率<10%且进审量>100，纳入观察
领导人,10006575780,【送审】N1高危消重,high_risk_dedup_N1_to_review,宋诗慧,1743.4285714285713,1731.5714285714287,112.42857142857143,0.06492863625113439,近7天打标率<10%且进审量>100，纳入观察
领导人,10006128861,送审-gov-b领导人相关内容,gov_b_leader,宋诗慧,1568.857142857143,1569.4285714285713,39.42857142857143,0.025122883670125613,近7天打标率<10%且进审量>100，纳入观察
领导人,10004770670,【送审】19-N2隐晦悼念-节点加强版,lkq_eva_daonian,宋诗慧,1444.0,1548.0,7.0,0.004521963824289405,近7天打标率<10%且进审量>100，纳入观察
色情性化,10023903408,识别_维语_卖片,sqds_sqdl_wy_mp_review,刘小楷,1538.142857142857,1538.142857142857,124.71428571428571,0.08108108108108109,近7天打标率<10%且进审量>100，纳入观察
领导人,10015391055,【不推荐】涉毛敏感词,leader_mao_antidirt_unrecommend_review,宋诗慧,1472.7142857142858,1488.7142857142858,41.285714285714285,0.02773246329526917,近7天打标率<10%且进审量>100，纳入观察
国家安全,10032811670,【人审-敏感人物】历史违规+敏感人物人脸,national_security_sensitive_person_with_violation_record_manual,杜衡,1531.142857142857,1485.4285714285713,127.42857142857143,0.08578572802462012,近7天打标率<10%且进审量>100，纳入观察
国家安全,10012811199,【人审-LS风险】标题_LS常规词表_8887,LS_regular_title_words_review,杜衡,1477.142857142857,1462.857142857143,59.0,0.04033203125,近7天打标率<10%且进审量>100，纳入观察
领导人,10033427008,识别_N1出行-交通管制重点识别,N1_chuxing_model_llm_pe_review,宋诗慧,1400.5,1457.0,11.5,0.007892930679478381,近7天打标率<10%且进审量>100，纳入观察
国家安全,10032775232,【人审-维语队列】维语风险用户全量进审,national_security_uyghur_risk_user_list_manual,杜衡,1446.5,1446.5,109.83333333333333,0.07593040672888582,近7天打标率<10%且进审量>100，纳入观察
领导人,10006180980,govb送审-命中兜底/领导人/国安词表,gov_b_sensitive_words,宋诗慧,1428.857142857143,1428.142857142857,31.571428571428573,0.022106631989596878,近7天打标率<10%且进审量>100，纳入观察
领导人,10010317129,【送审】毛邓周&十大元帅结合高阈值结合eva,high_threshold_leader_mao_B_eva,宋诗慧,1404.2857142857142,1397.7142857142858,131.85714285714286,0.09433769419460343,近7天打标率<10%且进审量>100，纳入观察
领导人,10013160984,直接进审敏感词-底线迁移,direct_review_sensitive_word,宋诗慧,1356.142857142857,1354.4285714285713,17.857142857142858,0.013184263263368842,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10028068996,识别_不规范使用体制机制元素PE_中外对比,model_llm_mechanisms_improper_use_review,李中涛,1302.142857142857,1304.2857142857142,105.71428571428571,0.08105147864184009,近7天打标率<10%且进审量>100，纳入观察
国家安全,15857112,【人审-维语队列】维语音频命中2724进审,hit_antidirt_2724,杜衡,1291.0,1290.4285714285713,26.0,0.0201483449573785,近7天打标率<10%且进审量>100，纳入观察
国家安全,15857110,【人审-藏语队列】声纹进审-短视频：达赖,hit_sid_gandalf_dalai,杜衡,1175.4285714285713,1185.5714285714287,37.142857142857146,0.03132907579226413,近7天打标率<10%且进审量>100，纳入观察
违法违规,10033607810,违法违规-买卖、宣扬毒品-策略补充-召回-v0626,risk_of_illegal_drug_list_v0626,叶健,1157.5,1158.5,95.0,0.08200258955545965,近7天打标率<10%且进审量>100，纳入观察
国家安全,15853534,【LS】文本细则-敏感内容-LS,xize_sensitive_ls,杜衡,1154.142857142857,1140.4285714285713,46.57142857142857,0.04083677815357635,近7天打标率<10%且进审量>100，纳入观察
违法违规,10026036091,违法违规-违禁商品和服务-违规通信与广电服务-召回-翻墙工具-0319,risk_of_illegal_bypass_vpn_accelerator_v1,叶健,1085.25,1087.5,93.25,0.0857471264367816,近7天打标率<10%且进审量>100，纳入观察
国家安全,15850775,线上+新疆召回模型+进人审,sinkiang,杜衡,1073.857142857143,1075.142857142857,61.0,0.056736646292851446,近7天打标率<10%且进审量>100，纳入观察
领导人,10033564861,识别_影射领导人,model_llm_yingshe_ldr_pe_review,宋诗慧,1027.7142857142858,1068.0,38.857142857142854,0.03638309256286784,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10004801327,【送审】历史虚无-文革,eva_045_wenge_sh,李中涛,1050.7142857142858,1038.5714285714287,93.42857142857143,0.08995873452544705,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10020031117,【送审】ZL弹窗_习酒_影射/负面情绪,n1_attack_eva_xijiu_review,张发奇,1005.8333333333334,993.8333333333334,5.333333333333333,0.005366426295488848,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,15847944,【送审】历史虚无ASR词表,hit_antidirt_1768,李中涛,927.4285714285714,937.8571428571429,83.57142857142857,0.0891089108910891,近7天打标率<10%且进审量>100，纳入观察
色情性化,10032378726,色情低俗-色情裸露-足球露屁股-高vveva,sqds_sqll_zuqiu_vv_eva_review,刘小楷,910.2,912.0,23.8,0.026096491228070177,近7天打标率<10%且进审量>100，纳入观察
领导人,10008022137,【送人审】N1高危消重-低危名单豁免,n1_high_risk_dudep_with_crop_unsafeuser,宋诗慧,913.2857142857143,897.5714285714286,60.57142857142857,0.0674836861371956,近7天打标率<10%且进审量>100，纳入观察
国家安全,10031460843,识别_传播LS敏感内容_坦克人,model_llm_cblsmgnr_tankeren_all_disp,杜衡,885.8571428571429,892.0,27.285714285714285,0.030589365791159513,近7天打标率<10%且进审量>100，纳入观察
领导人,10012314254,【送审】领导人OCR词表-中,leader_ocr_antidirt,宋诗慧,896.8571428571429,888.1428571428571,66.0,0.07431236930995658,近7天打标率<10%且进审量>100，纳入观察
领导人,15798711,【送人审】声纹进审：一号夫人,hit_sid_gandalf_PF,宋诗慧,832.4285714285714,839.0,21.285714285714285,0.025370338838753618,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10014769961,【ZL送人审】杨兰兰文本识别,ZL_yanglanlan_textEVA_renshen,张发奇,872.7142857142857,835.5714285714286,49.0,0.05864250299196444,近7天打标率<10%且进审量>100，纳入观察
领导人,10033602157,识别_【送审】毛邓周&十大元帅结合高阈值结合eva-gandalf替换,high_threshold_leader_mao_B_eva_llm_gandalf,宋诗慧,807.4285714285714,807.8571428571429,65.14285714285714,0.08063660477453581,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10014765564,送人审_机构公职_执法负面_综合风险_长周期抽样,eva_72705_gov_enforcement_neg_general_long_term_sample_review,李中涛,811.4285714285714,798.4285714285714,71.42857142857143,0.08946144211844695,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10015850167,【送审】敏感人物规则s1s2-敏感官员-300vv,Local_sensitive_officials_s1s2_300vv,李中涛,745.2857142857143,745.5714285714286,19.571428571428573,0.026250239509484574,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10022929691,【实验】党国_账号内容举报计次_召回送审,cpc_user_politic_rept_cnt_review,李中涛,742.7142857142857,742.7142857142857,31.571428571428573,0.042508174648970956,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10022929691,【实验】党国_账号内容举报计次_召回送审,cpc_user_politic_rept_cnt_review,张发奇,742.7142857142857,742.7142857142857,31.571428571428573,0.042508174648970956,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10034095364,识别_过激民族主义_综合_送人审,social_foreign_model_llm_pe_nationalism_ganeral_unrecommend_review,张发奇,736.4285714285714,733.2857142857143,69.14285714285714,0.09429183713228131,近7天打标率<10%且进审量>100，纳入观察
领导人,10023294322,【图文】账号内容举报计次_召回送审,user_politic_rept_cnt_review,宋诗慧,727.4285714285714,727.5714285714286,72.42857142857143,0.09954839976438248,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10023294322,【图文】账号内容举报计次_召回送审,user_politic_rept_cnt_review,张发奇,727.4285714285714,727.5714285714286,72.42857142857143,0.09954839976438248,近7天打标率<10%且进审量>100，纳入观察
领导人,10013619675,【送审】N1高危消重-兜底,high_risk_dedup_N1_to_review_qianyi,宋诗慧,723.7142857142857,717.0,45.0,0.06276150627615062,近7天打标率<10%且进审量>100，纳入观察
领导人,10002166947,【送审】毛邓周&十大元帅结合高阈值,high_threshold_leader_mao_B,宋诗慧,715.2857142857143,708.4285714285714,59.42857142857143,0.08388788062109297,近7天打标率<10%且进审量>100，纳入观察
国家安全,15853531,【人审-维语队列】新疆进审-词表,xinjiang_review_antidirt,杜衡,702.2857142857143,703.4285714285714,4.0,0.005686433793663688,近7天打标率<10%且进审量>100，纳入观察
领导人,10028741540,识别_隐晦怀念HJT,hard_miss_HJT_review,宋诗慧,695.4285714285714,699.8571428571429,10.857142857142858,0.015513370075525617,近7天打标率<10%且进审量>100，纳入观察
国家安全,10011642540,【人审】LS坦克人+专家特征,LS_tankman_26_review,杜衡,678.8571428571429,685.7142857142857,30.142857142857142,0.043958333333333335,近7天打标率<10%且进审量>100，纳入观察
国家安全,10008349497,【新】国家分裂主义-宣扬分裂主义-不完整地图,fenlie_buwanzhnegditu_songshen,杜衡,676.5714285714286,671.0,28.428571428571427,0.04236746859697679,近7天打标率<10%且进审量>100，纳入观察
领导人,10032190109,gov_B出现国内国外领导人脸,gov_b_leader,宋诗慧,659.1428571428571,659.1428571428571,35.285714285714285,0.05353272648461205,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10015850165,【送审】敏感人物规则s1s2-异见人士-300vv,opinion_person_s1s2_300vv,李中涛,632.2857142857143,632.8571428571429,14.714285714285714,0.023250564334085778,近7天打标率<10%且进审量>100，纳入观察
领导人,10033229846,识别_444决议关联N1,model_llm_444jueyi_pe_review,宋诗慧,619.7142857142857,622.7142857142857,7.0,0.011241110346409728,近7天打标率<10%且进审量>100，纳入观察
领导人,10009679112,【送审】毛人脸模型叠加eva召回,leader_mao_eva_recall,宋诗慧,614.5714285714286,615.7142857142857,23.0,0.03735498839907193,近7天打标率<10%且进审量>100，纳入观察
领导人,10013518351,【送人审】N1-大字风险,dazi_attack_n1_review,宋诗慧,618.8571428571429,614.8571428571429,30.0,0.04879182156133829,近7天打标率<10%且进审量>100，纳入观察
国家安全,10031013240,识别_AIGC坦克人,model_llm_pe_LS_aigc_tankman_review,杜衡,594.2857142857143,593.4285714285714,19.857142857142858,0.03346172363986519,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10015850166,【送审】敏感人物规则s1s2-涉政劣迹艺人-300vv,Sensitive_Athlete_s1s2_300vv,李中涛,590.2857142857143,592.1428571428571,29.857142857142858,0.05042219541616405,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10014233179,送人审_党政_风险综合_举报&lv2模型_惯犯负反馈异常,eva_party_state_millitary_gov_general_lv2_risk_user_political_report_cmt_review,李中涛,578.7142857142857,581.5714285714286,29.714285714285715,0.051093097519037095,近7天打标率<10%且进审量>100，纳入观察
违法违规,10034122543,识别_违法违规-违规租售房屋广告-北京短租房-召回-v0703,risk_of_illegal_house_rent_v0703,叶健,568.5,568.25,14.5,0.025516937967443906,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10014154279,【ZL送人审】N1姓名单字-迭代,zl_eva_n1_name_xmcz_review,张发奇,571.2857142857143,562.4285714285714,3.4285714285714284,0.006096012192024384,近7天打标率<10%且进审量>100，纳入观察
国家安全,10012811201,【人审-LS风险】ASR_LS常规词表_8884,LS_regular_ASR_words_review,杜衡,530.4285714285714,548.8571428571429,10.0,0.018219677251431546,近7天打标率<10%且进审量>100，纳入观察
领导人,10029988308,【送人审】N1高准词表评论召回,N1_1407_comment_xiaojie_review,宋诗慧,543.0,547.2857142857143,15.142857142857142,0.027669015922735577,近7天打标率<10%且进审量>100，纳入观察
国家安全,10025185118,新疆进审-词表-副本20,xinjiang_review_antidirt,杜衡,529.75,529.75,1.0,0.0018876828692779614,近7天打标率<10%且进审量>100，纳入观察
国家安全,10030795066,【人审】LS坦克人router+专家特征,LS_tankman_26_review,杜衡,516.8571428571429,517.8571428571429,8.285714285714286,0.016,近7天打标率<10%且进审量>100，纳入观察
国家安全,10013323447,藏语命中2553进审-OCR,hit_antidirt_2553_ocr_review,杜衡,540.1428571428571,512.5714285714286,27.571428571428573,0.053790412486064657,近7天打标率<10%且进审量>100，纳入观察
领导人,10033177739,识别_N1多元素组合,model_llm_N1_multis_pe_review,宋诗慧,493.57142857142856,488.14285714285717,12.571428571428571,0.02575358501609599,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10012921699,短&中_民生&涉外_ocr送审_词表迁移,hit_ocr_ms_foreign,张发奇,480.7142857142857,486.14285714285717,42.0,0.08639435791948281,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10012303143,【实验】送审-展示涉外争议经历,controversial_recall_V1,张发奇,487.85714285714283,482.2857142857143,27.714285714285715,0.057464454976303314,近7天打标率<10%且进审量>100，纳入观察
国家安全,10030452405,识别_评论区Emoji表情排列成LS风险,model_llm_ls_comment_area_emoji_chat_vision_risk_manual,杜衡,471.85714285714283,469.2857142857143,24.285714285714285,0.0517503805175038,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10033757832,送人审_偏激涉外_综合_累犯_实时黑库,social_foreign_viking_social_foreign_general_review,张发奇,464.57142857142856,465.2857142857143,40.42857142857143,0.0868897758673626,近7天打标率<10%且进审量>100，纳入观察
国家安全,10018521669,【人审-维语队列】维语OCR命中2724进审,hit_antidirt_2724_ocr_review,杜衡,433.85714285714283,433.85714285714283,6.857142857142857,0.015805070793546264,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10001855954,【ZL送人审】ctd手动录入用户全审,special_user_review,张发奇,444.14285714285717,433.14285714285717,20.571428571428573,0.047493403693931395,近7天打标率<10%且进审量>100，纳入观察
领导人,10026220274,【人审】N1-词表_ZL迁移,ocr_title_n1_risk_words_fromZL_review,宋诗慧,428.85714285714283,427.7142857142857,12.714285714285714,0.02972611890447562,近7天打标率<10%且进审量>100，纳入观察
国家安全,15857104,藏语命中2553进审,hit_antidirt_2553,杜衡,425.42857142857144,424.7142857142857,26.428571428571427,0.062226707029936094,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10021368610,【ZL送人审】指令综合_必审用户名单,ZL_user_list_zl_general_high_risk_user_review,张发奇,419.14285714285717,415.2857142857143,7.428571428571429,0.017887856897144824,近7天打标率<10%且进审量>100，纳入观察
领导人,10028916113,识别_HJT二十大离场,HJT_20da_lixi_ai_face_review,宋诗慧,409.0,411.2857142857143,13.0,0.03160819729072595,近7天打标率<10%且进审量>100，纳入观察
国家安全,10010298673,【送审】国家安全高危消重,high_risk_dedup_public_opinion_to_review,杜衡,408.57142857142856,407.42857142857144,32.857142857142854,0.08064516129032258,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10011160958,【短】送审-俄乌华人雇佣兵招募应征-副本5,recruitment_chinese_mercenary_review,张发奇,403.2857142857143,398.2857142857143,38.42857142857143,0.09648493543758967,近7天打标率<10%且进审量>100，纳入观察
领导人,10019351881,送人审_出现领导人元素_标准外_N1与历任_二次元键政_数字特征&PE,model_llm_safe_mind_sens_anime_leader_appear_anime_risk_unrecommend_review,宋诗慧,394.57142857142856,391.14285714285717,21.714285714285715,0.05551497443389335,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10015084048,送人审_历史虚无_革命负面_综合风险_长周期聚类,eva_73281_nihilism_revolution_neg_general_long_term_cluster_review,李中涛,393.14285714285717,390.14285714285717,29.285714285714285,0.07506407909190772,近7天打标率<10%且进审量>100，纳入观察
国家安全,10008387617,【新】极端主义-宣扬极端主义-极端暴恐相关,jiduan_jiduanbaokong_songshen,杜衡,396.2857142857143,390.0,9.428571428571429,0.024175824175824177,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10018462658,友见_执法负面_同质化文案_模态通用_词表,antidirt_9946_enforcement_neg_general_lv3_friend_see,李中涛,396.42857142857144,389.42857142857144,22.285714285714285,0.05722670579603815,近7天打标率<10%且进审量>100，纳入观察
国家安全,10009529736,【藏历新年】晒佛相关,shaifo_lama_v1_songshen_0220,杜衡,388.7142857142857,384.14285714285717,30.857142857142858,0.08032725920416511,近7天打标率<10%且进审量>100，纳入观察
领导人,10032398961,govb送审-高风险userid,gov_b_high_risk_user,宋诗慧,383.85714285714283,384.0,16.285714285714285,0.04241071428571429,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10024140820,【ZL送人审】两委换届_两委换届_multi&Regexp_迭代,ZL_eva_219749_liangweihuanjie_multi_regexp_selfsee_review,张发奇,383.2857142857143,376.0,33.142857142857146,0.08814589665653495,近7天打标率<10%且进审量>100，纳入观察
领导人,10009757637,【送审】23版敏感人物规则-S1&S2核心领导人,leader_s1s2_core_send_tcs,宋诗慧,369.85714285714283,370.42857142857144,23.142857142857142,0.062475896644812956,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10027701467,视频消费_互动异常召回_叠加模型送审_党国,interaction_extreme_value_recall_review,李中涛,364.85714285714283,369.42857142857144,29.285714285714285,0.07927300850734725,近7天打标率<10%且进审量>100，纳入观察
国家安全,10030813524,【人审】LS国殇之柱router+专家特征,LS_guoshangzhizhu_26_review,杜衡,364.42857142857144,367.85714285714283,26.285714285714285,0.07145631067961165,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10019440556,【ZL送人审】场景二电诈团伙真实录像/画面-300,ZL_eva_93879_300_selfsee,张发奇,359.57142857142856,359.0,29.428571428571427,0.08197373656983685,近7天打标率<10%且进审量>100，纳入观察
领导人,15798693,【送审】恶搞N1漫画进审,cartoon_leader_19,宋诗慧,356.85714285714283,353.42857142857144,4.857142857142857,0.0137429264349232,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10004801323,【送审】历史虚无-恶搞英烈,egaoyinglie_032v2_sh,李中涛,354.14285714285717,350.42857142857144,32.285714285714285,0.0921320831634733,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10011106020,【短视频】历史虚无敏感人物s3召回-新,other_political_matters_s3_release_new,李中涛,343.0,343.14285714285717,11.857142857142858,0.03455453788509576,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10012921698,短&中_民生&涉外_asr送审_词表迁移,hit_asr_5966_ms_foreign,张发奇,332.85714285714283,339.0,30.0,0.08849557522123894,近7天打标率<10%且进审量>100，纳入观察
国家安全,10031618893,gov_B账号LS识别策略,gov_b_ls_model_all,杜衡,337.7142857142857,338.0,0.8571428571428571,0.00253592561284869,近7天打标率<10%且进审量>100，纳入观察
领导人,15798699,【地理围栏】N1行程管控,n1_special_social,宋诗慧,330.2,330.4,1.0,0.003026634382566586,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10015228482,推人-搬运用户新发,zzyy_chaoxi_0vv,张发奇,328.85714285714283,328.7142857142857,30.428571428571427,0.09256844850065189,近7天打标率<10%且进审量>100，纳入观察
国家安全,10010389895,【人审】新疆进审-地区-召回,xinjiang_review_area_recall,杜衡,325.85714285714283,328.57142857142856,10.571428571428571,0.03217391304347826,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10011158685,【人审】送审-迷彩战斗服征兵关键词,micai_recruitment_review,张发奇,333.0,327.2857142857143,26.142857142857142,0.0798777826276735,近7天打标率<10%且进审量>100，纳入观察
领导人,10028459844,送人审_领导人_综合_多次多天重复违规用户-召回,expert_redivist_leader_general_repeat_violate_user_review,宋诗慧,323.57142857142856,327.14285714285717,8.857142857142858,0.027074235807860263,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10027837518,文字投稿-文本RAG-不当煽动群体事件与社会动员,model_llm_wztg_wbrag_bdsdqtsjyshdy,张发奇,320.2857142857143,321.14285714285717,2.142857142857143,0.0066725978647686835,近7天打标率<10%且进审量>100，纳入观察
领导人,15798715,【送人审】辱骂习,hit_insultN1,宋诗慧,315.42857142857144,321.0,11.571428571428571,0.036048064085447265,近7天打标率<10%且进审量>100，纳入观察
领导人,10022135037,【送审】23版敏感人物规则-类N1,similiar_n1_review,宋诗慧,321.2857142857143,320.57142857142856,15.714285714285714,0.049019607843137254,近7天打标率<10%且进审量>100，纳入观察
领导人,10034161112,识别_N1娘化,model_llm_N1_nianghua_pe_review,宋诗慧,321.2857142857143,319.85714285714283,9.571428571428571,0.02992407324698526,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10012921704,短_民生&涉外_nlp&title送审_词表迁移,short_hit_nlp_title_ms_foreign,张发奇,315.57142857142856,316.2857142857143,21.428571428571427,0.06775067750677506,近7天打标率<10%且进审量>100，纳入观察
领导人,10006180980,govb送审-命中兜底/领导人/国安词表,gov_b_leader,宋诗慧,313.7142857142857,313.7142857142857,28.428571428571427,0.09061930783242259,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10012912391,【短】偏激词表-煽动意识形态对抗-title,wordlist_yishixingtai_title,张发奇,297.7142857142857,296.0,14.857142857142858,0.05019305019305019,近7天打标率<10%且进审量>100，纳入观察
